Jurisdiction,Zip,DistrictType,ward
City of Chicago,60601,WARD,34
City of Chicago,60601,WARD,42
City of Chicago,60602,WARD,34
City of Chicago,60603,WARD,34
City of Chicago,60603,WARD,42
City of Chicago,60604,WARD,34
City of Chicago,60604,WARD,4
City of Chicago,60605,WARD,3
City of Chicago,60605,WARD,34
City of Chicago,60605,WARD,4
City of Chicago,60606,WARD,34
City of Chicago,60606,WARD,42
City of Chicago,60607,WARD,25
City of Chicago,60607,WARD,27
City of Chicago,60607,WARD,28
City of Chicago,60607,WARD,34
City of Chicago,60608,WARD,11
City of Chicago,60608,WARD,12
City of Chicago,60608,WARD,24
City of Chicago,60608,WARD,25
City of Chicago,60608,WARD,28
City of Chicago,60609,WARD,11
City of Chicago,60609,WARD,12
City of Chicago,60609,WARD,15
City of Chicago,60609,WARD,16
City of Chicago,60609,WARD,20
City of Chicago,60609,WARD,3
City of Chicago,60610,WARD,2
City of Chicago,60610,WARD,27
City of Chicago,60610,WARD,42
City of Chicago,60610,WARD,43
City of Chicago,60611,WARD,2
City of Chicago,60611,WARD,42
City of Chicago,60612,WARD,24
City of Chicago,60612,WARD,27
City of Chicago,60612,WARD,28
City of Chicago,60612,WARD,34
City of Chicago,60612,WARD,36
City of Chicago,60613,WARD,44
City of Chicago,60613,WARD,46
City of Chicago,60613,WARD,47
City of Chicago,60614,WARD,2
City of Chicago,60614,WARD,27
City of Chicago,60614,WARD,32
City of Chicago,60614,WARD,43
City of Chicago,60614,WARD,44
City of Chicago,60615,WARD,20
City of Chicago,60615,WARD,3
City of Chicago,60615,WARD,4
City of Chicago,60615,WARD,5
City of Chicago,60616,WARD,11
City of Chicago,60616,WARD,25
City of Chicago,60616,WARD,3
City of Chicago,60616,WARD,4
City of Chicago,60617,WARD,10
City of Chicago,60617,WARD,7
City of Chicago,60617,WARD,8
City of Chicago,60618,WARD,30
City of Chicago,60618,WARD,31
City of Chicago,60618,WARD,32
City of Chicago,60618,WARD,33
City of Chicago,60618,WARD,35
City of Chicago,60618,WARD,39
City of Chicago,60618,WARD,40
City of Chicago,60618,WARD,45
City of Chicago,60618,WARD,47
City of Chicago,60619,WARD,5
City of Chicago,60619,WARD,6
City of Chicago,60619,WARD,7
City of Chicago,60619,WARD,8
City of Chicago,60620,WARD,17
City of Chicago,60620,WARD,18
City of Chicago,60620,WARD,19
City of Chicago,60620,WARD,21
City of Chicago,60620,WARD,6
City of Chicago,60620,WARD,9
City of Chicago,60621,WARD,16
City of Chicago,60621,WARD,17
City of Chicago,60621,WARD,20
City of Chicago,60621,WARD,6
City of Chicago,60622,WARD,1
City of Chicago,60622,WARD,26
City of Chicago,60622,WARD,27
City of Chicago,60622,WARD,32
City of Chicago,60622,WARD,36
City of Chicago,60623,WARD,22
City of Chicago,60623,WARD,24
City of Chicago,60623,WARD,25
City of Chicago,60624,WARD,24
City of Chicago,60624,WARD,27
City of Chicago,60624,WARD,28
City of Chicago,60624,WARD,37
City of Chicago,60625,WARD,33
City of Chicago,60625,WARD,39
City of Chicago,60625,WARD,40
City of Chicago,60625,WARD,41
City of Chicago,60625,WARD,45
City of Chicago,60625,WARD,47
City of Chicago,60626,WARD,40
City of Chicago,60626,WARD,49
City of Chicago,60626,WARD,50
City of Chicago,60628,WARD,21
City of Chicago,60628,WARD,8
City of Chicago,60628,WARD,9
City of Chicago,60629,WARD,13
City of Chicago,60629,WARD,14
City of Chicago,60629,WARD,15
City of Chicago,60629,WARD,16
City of Chicago,60629,WARD,17
City of Chicago,60629,WARD,18
City of Chicago,60629,WARD,23
City of Chicago,60630,WARD,33
City of Chicago,60630,WARD,38
City of Chicago,60630,WARD,39
City of Chicago,60630,WARD,41
City of Chicago,60630,WARD,45
City of Chicago,60631,WARD,41
City of Chicago,60631,WARD,45
City of Chicago,60632,WARD,12
City of Chicago,60632,WARD,13
City of Chicago,60632,WARD,14
City of Chicago,60632,WARD,15
City of Chicago,60632,WARD,22
City of Chicago,60632,WARD,23
City of Chicago,60633,WARD,10
City of Chicago,60634,WARD,29
City of Chicago,60634,WARD,30
City of Chicago,60634,WARD,31
City of Chicago,60634,WARD,36
City of Chicago,60634,WARD,38
City of Chicago,60634,WARD,45
City of Chicago,60636,WARD,15
City of Chicago,60636,WARD,16
City of Chicago,60636,WARD,17
City of Chicago,60636,WARD,18
City of Chicago,60637,WARD,20
City of Chicago,60637,WARD,5
City of Chicago,60637,WARD,6
City of Chicago,60638,WARD,13
City of Chicago,60638,WARD,22
City of Chicago,60638,WARD,23
City of Chicago,60639,WARD,26
City of Chicago,60639,WARD,29
City of Chicago,60639,WARD,30
City of Chicago,60639,WARD,31
City of Chicago,60639,WARD,35
City of Chicago,60639,WARD,36
City of Chicago,60639,WARD,37
City of Chicago,60640,WARD,40
City of Chicago,60640,WARD,46
City of Chicago,60640,WARD,47
City of Chicago,60640,WARD,48
City of Chicago,60641,WARD,30
City of Chicago,60641,WARD,31
City of Chicago,60641,WARD,38
City of Chicago,60641,WARD,39
City of Chicago,60641,WARD,45
City of Chicago,60642,WARD,1
City of Chicago,60642,WARD,2
City of Chicago,60642,WARD,27
City of Chicago,60642,WARD,32
City of Chicago,60643,WARD,19
City of Chicago,60643,WARD,21
City of Chicago,60643,WARD,9
City of Chicago,60644,WARD,24
City of Chicago,60644,WARD,28
City of Chicago,60644,WARD,29
City of Chicago,60644,WARD,37
City of Chicago,60645,WARD,40
City of Chicago,60645,WARD,49
City of Chicago,60645,WARD,50
City of Chicago,60646,WARD,39
City of Chicago,60646,WARD,41
City of Chicago,60646,WARD,45
City of Chicago,60647,WARD,1
City of Chicago,60647,WARD,26
City of Chicago,60647,WARD,31
City of Chicago,60647,WARD,32
City of Chicago,60647,WARD,35
City of Chicago,60649,WARD,5
City of Chicago,60649,WARD,7
City of Chicago,60649,WARD,8
City of Chicago,60651,WARD,26
City of Chicago,60651,WARD,27
City of Chicago,60651,WARD,28
City of Chicago,60651,WARD,29
City of Chicago,60651,WARD,36
City of Chicago,60651,WARD,37
City of Chicago,60652,WARD,18
City of Chicago,60653,WARD,3
City of Chicago,60653,WARD,4
City of Chicago,60654,WARD,2
City of Chicago,60654,WARD,27
City of Chicago,60654,WARD,34
City of Chicago,60654,WARD,42
City of Chicago,60655,WARD,19
City of Chicago,60656,WARD,38
City of Chicago,60656,WARD,41
City of Chicago,60657,WARD,32
City of Chicago,60657,WARD,44
City of Chicago,60657,WARD,46
City of Chicago,60657,WARD,47
City of Chicago,60659,WARD,39
City of Chicago,60659,WARD,40
City of Chicago,60659,WARD,50
City of Chicago,60660,WARD,40
City of Chicago,60660,WARD,48
City of Chicago,60660,WARD,49
City of Chicago,60660,WARD,50
City of Chicago,60661,WARD,27
City of Chicago,60661,WARD,34
City of Chicago,60706,WARD,41
City of Chicago,60707,WARD,29
City of Chicago,60707,WARD,36
City of Chicago,60827,WARD,10
City of Chicago,60827,WARD,9