votingrates,2019avprice,Unnamed: 0,Population - Total,per1000_compaint,num_donations,total_donated,min_donation,max_donation,avg_donation
0.2730844793713163,460937.1666666667,52,15083,154.6111516276603,62,783708.15,50.0,500000.0,12640.454032258065
0.2730844793713163,524355.8333333334,56,1145,932.7510917030568,27,62610.0,150.0,25000.0,2318.8888888888887
0.33408071748878926,628765.0833333334,57,1052,878.3269961977186,24,139558.2,50.0,50000.0,5814.925
0.33408071748878926,425756.5833333333,58,823,860.2673147023087,18,30007.55,100.0,10000.0,1667.086111111111
0.33408071748878926,368652.4166666667,49,29060,157.88024776324843,47,54460.01,0.01,25000.0,1158.7236170212766
0.33408071748878926,366560.5833333333,54,3287,519.9269850927898,29,291946.05,50.0,100000.0,10067.105172413792
0.21385902031063322,393365.0,45,29293,258.3893763015055,76,211596.79,71.53,25000.0,2784.168289473684
0.21385902031063322,299638.25,14,80059,325.70978903058995,26,127147.77,100.0,100000.0,4890.298846153846
0.28010139416983526,188402.91666666663,10,60939,468.9279443377804,12,15290.0,40.0,5000.0,1274.1666666666667
0.28010139416983526,388755.75,47,40548,151.30216040248595,80,249039.28,40.0,100000.0,3112.991
0.28010139416983526,434319.8333333333,50,33224,126.35444257163498,123,509111.24,50.0,50000.0,4139.1157723577235
0.3954727030625832,280536.9166666667,0,33735,15588.409663554172,11,25627.5,100.0,5762.5,2329.7727272727275
0.3954727030625832,307267.8333333333,38,50761,210.63414826343055,41,33214.0,10.0,10000.0,810.0975609756098
0.3726993865030675,569098.6666666666,25,71954,243.73905550768544,104,166389.0,10.0,25000.0,1599.8942307692307
0.3726993865030675,232435.16666666663,40,40590,233.85070214338504,49,57267.0,5.0,25000.0,1168.7142857142858
0.2857142857142857,340671.3333333333,37,54197,201.4687159805893,25,13375.0,25.0,2500.0,535.0
0.2579415501905972,133841.41666666666,3,83553,466.55416322573694,12,8390.0,15.0,5000.0,699.1666666666666
0.2927927927927928,466989.0833333333,4,94907,373.2179923504062,22,15950.0,100.0,2500.0,725.0
0.2755813953488372,158841.0,7,61207,520.7574297057525,7,1500.0,100.0,500.0,214.28571428571428
0.2755813953488372,155795.58333333334,5,67711,505.9886872147805,7,2200.0,100.0,1000.0,314.2857142857143
0.2712100139082058,57173.5,20,28018,759.6901991576843,1,500.0,500.0,500.0,500.0
0.2712100139082058,491897.25,24,53294,353.88599091830224,28,25960.0,15.0,10000.0,927.1428571428571
0.31274638633377133,174250.75,8,81283,381.7034312217807,7,25750.0,200.0,21100.0,3678.5714285714284
0.31274638633377133,168615.5,23,34892,551.759715694142,2,3500.0,1000.0,2500.0,1750.0
0.26426076833527357,362744.3333333333,22,79444,258.9622879009113,30,28200.0,50.0,10000.0,940.0
0.24441524310118265,205257.3333333333,42,50544,174.63991769547323,13,5399.0,50.0,1500.0,415.3076923076923
0.24441524310118265,117470.83333333331,2,64254,615.105674354904,3,5600.0,100.0,5000.0,1866.6666666666667
0.24441524310118265,201523.66666666663,6,110029,290.959656090667,4,1650.0,200.0,750.0,412.5
0.24441524310118265,334401.5833333333,19,56433,380.09675190048375,8,5225.0,25.0,2500.0,653.125
0.2823779193205945,367797.4166666667,35,29529,393.4098682650953,17,104890.97,100.0,50000.0,6170.05705882353
0.2823779193205945,196797.66666666663,13,89857,294.0672401704931,3,27000.0,1000.0,25000.0,9000.0
0.2685788787483703,126530.5,48,12689,436.9138624005044,1,150.0,150.0,150.0,150.0
0.2685788787483703,300555.1666666667,12,75082,360.2727684398391,12,47332.0,25.0,37800.0,3944.3333333333335
0.2685788787483703,78313.08333333333,15,30024,850.8526512123634,5,127000.0,500.0,100000.0,25400.0
0.28286852589641437,159932.5,29,47300,335.94080338266383,31,18245.0,35.0,7500.0,588.5483870967741
0.28286852589641437,242945.91666666663,18,58669,395.0467879118444,12,2400.0,5.0,1000.0,200.0
0.28286852589641437,262052.75,16,88204,273.4343113690989,1,250.0,250.0,250.0,250.0
0.28286852589641437,291715.0,31,69363,192.07646728082693,43,56784.0,25.0,25000.0,1320.5581395348838
0.4704,332453.25,17,69880,337.3211219232971,10,8100.0,50.0,5000.0,810.0
0.4704,464461.8333333333,43,19716,412.60904848853727,11,22907.0,27.0,15000.0,2082.4545454545455
0.45081967213114754,191697.75,11,48887,558.0011045881317,24,15900.0,100.0,4000.0,662.5
0.45081967213114754,167952.58333333334,27,46591,359.0178360627589,4,1200.0,200.0,500.0,300.0
0.25648021828103684,292035.0,34,47270,250.72984979902685,13,910.0,10.0,200.0,70.0
0.3696236559139785,416736.1666666667,32,28569,447.19801183100566,25,22545.0,20.0,5000.0,901.8
0.3696236559139785,440420.75,9,87633,353.1318110757363,43,285115.0,50.0,200000.0,6630.581395348837
0.3319946452476573,131206.5,30,46633,290.6096541076062,10,8275.0,25.0,5000.0,827.5
0.3321554770318021,218491.8333333333,21,63492,328.6240786240786,2,100.0,50.0,50.0,50.0
0.3321554770318021,198613.3333333333,28,43447,376.9190047644256,3,2600.0,300.0,2000.0,866.6666666666666
0.3535075653370014,271820.4166666667,39,33154,304.7897689569886,13,6900.0,50.0,2500.0,530.7692307692307
0.3535075653370014,385961.0833333333,51,20022,157.12716012386375,64,180226.69,10.0,50000.0,2816.04203125
0.2489208633093525,254257.66666666663,33,28569,427.10630403584304,8,3450.0,100.0,1000.0,431.25
0.2489208633093525,313119.9166666667,44,28218,279.39613012970443,15,7050.0,50.0,1500.0,470.0
0.27883211678832115,448907.0833333333,26,70958,237.53487978804364,75,101278.07,25.0,20000.0,1350.3742666666667
0.27883211678832115,324855.25,36,42735,257.2364572364572,4,1300.0,250.0,500.0,325.0
0.27883211678832115,245826.0,41,44498,211.6499617960358,24,10813.0,20.0,5000.0,450.5416666666667
0.23399014778325122,372051.0833333333,53,10354,167.3749275642264,16,30860.0,100.0,10000.0,1928.75
0.22845417236662108,278834.4166666667,46,43093,146.47390527463858,5,2025.0,25.0,1000.0,405.0
0.22845417236662108,79727.75,55,28483,50.10005968472422,0,0.0,0.0,0.0,0.0
